seed,variant,tick,population,births,deaths,mutations,transfers,generation,lineages,traitSpread,meanEnergy,meanIntegrity,meanExpression,signalA,signalB,totalResource,totalEnergy,energyResidual,clusters,largestCluster,checksum
1,baseline,2000,274,730,528,2006,24242,7,40,0.06884382703544163,6.512148169893491,1,0.9780840284294172,0.019035233376269545,0.04307828454961375,945.1289541979867,3277.457552748803,3.815694071818143e-8,249,3,121188f9965f262e67918ddf4f7f858554e02fa8604c38a7b69e85587cb36e84
1,signals-off,2000,346,807,533,2200,30136,8,40,0.0691149500636288,6.385283943564298,1,1,0,0,699.598602823823,3600.9068472970703,-7.787093636579812e-9,293,4,b8f18c148f1e52b7cd0ad3624152372dd7a88df630c0cd875e8830349bfa17c5
1,plasticity-off,2000,285,733,520,2027,23350,7,36,0.06800434338276559,6.70251031209161,1,1,0.019349355710126845,0.043201931605381015,922.0067477274233,3402.2221866735317,-5.472702468978241e-8,261,3,6f439c429b917ddf15c9e7f6358129d4af67c38791955d091cc0f7de4d73b8dd
1,mutation-off,2000,288,714,498,0,23390,8,39,0.06275766253292954,6.4466585001091525,1,0.9780218849049407,0.02023783529159685,0.043799763419077584,902.1321996870073,3334.769847718443,-1.0237727110506967e-7,268,3,24dc837412f5d820e17598146a9b09db6ae9e16d36b7d4fea80fcb3ed66206cc
7,baseline,2000,300,720,492,1856,25249,7,37,0.06899911031701671,6.764289651842984,1,0.9780917637566436,0.019898420721514293,0.04514218637651306,843.8611354892777,3473.148031042173,6.267782737268135e-8,273,3,5b58423105b57601ff3583c1b8df1d0c6c1dcea57919c2ada7c36148aa32de9a
7,signals-off,2000,346,800,526,2054,32043,8,48,0.0675133330358745,6.594480499595855,1,1,0,0,771.4732314369043,3745.16348429707,8.80140760273207e-8,303,4,61d7a358b92c70242fead678f125b454b38a0a4e8d30499f337918f019515ed4
7,plasticity-off,2000,297,733,508,1904,25429,7,43,0.06782950790674512,6.93589210887755,1,1,0.020824679260016927,0.04466249687892168,868.0888743277911,3522.0488306644233,7.44716999179218e-8,264,4,27e46b847fae162c4032cc8126395431bd41a37dc0327a1026e561cf2e28b39f
7,mutation-off,2000,302,728,498,0,26171,7,41,0.06693329542671736,6.74770893594698,1,0.9771989523351112,0.020962291223753655,0.047621991759541155,860.7645514900402,3502.572650146028,3.3391643228242174e-8,273,3,7da19ec3c74e0f44a03da4640b3f8e5b47211d07fb766b2406b82c457308aee7
42,baseline,2000,310,741,503,1962,25365,8,33,0.0709009514514317,6.481814884085867,1,0.9788354724380924,0.020604106346146088,0.044464255808166944,820.6464207741401,3450.009034840759,6.144045983091928e-8,275,3,d69beb0f39899ef449c2eb33cbd5093e3e9eb250d9573635c763d478a4bd3952
42,signals-off,2000,361,803,514,2123,32978,8,35,0.07147146543569474,6.763008210587225,1,1,0,0,701.5990721870936,3865.045036209082,-8.429651643382385e-9,315,3,44a251f65ead0ca3bf751c3914eb6a2b798a4000618a7eaf69f2d32e85aae271
42,plasticity-off,2000,283,747,536,2051,25117,9,38,0.07349180368200714,6.836999717676762,1,1,0.01935922759285005,0.03969412563378413,952.2998359325334,3453.170756035057,1.1610609362833202e-8,258,4,321c8dc32edcdc7a4c4eb16e0d56de1528ac90a86f5d8041db46de673970560a
42,mutation-off,2000,297,749,524,0,25554,7,35,0.06607151482800863,7.006496182772982,1,0.9798445147196022,0.019941161302200895,0.039472974989472304,905.4299812711163,3580.3593475546922,-4.282810550648719e-9,268,3,d5d9768219f800d7b2f16e6f2b59eb7798f5a0be2c72e22a8e59826e4167b92d
